"xps_data_analysis,subClassOf,Process"
"xps_data_analysis,hasSoftwareConfiguration,"Auger Scan-2 software"
"xps_data_analysis,hasNotes,xps_analysis_notes"
"xps_analysis_notes,asString,"employs a linear least squares optimization with a simplex peak-fitting algorithm"
"xps_data_analysis,hasInputData,XPS data"
"xps_data_analysis,hasOutputData,stoichiometric formula SiOx"
"weibull_distribution_analysis,subClassOf,Process"
"weibull_distribution_analysis,hasInputData,breakdown data"
"weibull_distribution_analysis,hasOutputData,shape parameter b"
"weibull_distribution_analysis,hasOutputData,scale parameter E0"
"tip_stress_calculation,subClassOf,Process"
"tip_stress_calculation,hasInputData,"applied voltage, V""
"tip_stress_calculation,hasInputData,"tip radius, r""
"tip_stress_calculation,hasInputData,"inter-electrode distance, d""
"tip_stress_calculation,hasOutputData,"tip stress, E""
"lichtenecker-rother_permittivity_calculation,subClassOf,Process"
"lichtenecker-rother_permittivity_calculation,hasInputData,wt% of filler"
"lichtenecker-rother_permittivity_calculation,hasOutputData,predicted permittivity"
"maxwell-garnet_permittivity_calculation,subClassOf,Process"
"maxwell-garnet_permittivity_calculation,hasInputData,wt% of filler"
"maxwell-garnet_permittivity_calculation,hasOutputData,predicted permittivity"
"landau-lifshitz_permittivity_calculation,subClassOf,Process"
"landau-lifshitz_permittivity_calculation,hasInputData,wt% of filler"
"landau-lifshitz_permittivity_calculation,hasOutputData,predicted permittivity"
"landau-lifshitz_permittivity_calculation,hasNotes,landau-lifshitz_calc_notes"
"landau-lifshitz_calc_notes,asString,"with a power factor (exponential term in power law equation) of 1/3""
"activation_energy_calculation,subClassOf,Process"
"activation_energy_calculation,hasInputData,imaginary part of the frequency spectra"
"activation_energy_calculation,hasOutputData,activation energy"
"activation_energy_calculation,hasNotes,activation_energy_calc_notes"
"activation_energy_calc_notes,asString,"by the normalization method by shifting the imaginary part of the frequency spectra laterally and then determining the frequency shift required to bring the curves into coincidence""
"trap_depth_evaluation,subClassOf,Process"
"trap_depth_evaluation,hasInputData,TSC peak temperature"
"trap_depth_evaluation,hasOutputData,trap depth"
"trap_depth_evaluation,hasNotes,trap_depth_eval_note1"
"trap_depth_eval_note1,asString,"The trap depth was determined from the slope of an Arrhenius plot""
"trap_depth_evaluation,hasNotes,trap_depth_eval_note2"
"trap_depth_eval_note2,asString,"A temperature range of 0.95–0.98 T m (where T m represents the temperature where a TSC peak is observed for a particular sample) was selected for evaluation of trap depth""
"charge_carrier_mobility_estimation,subClassOf,Process"
"charge_carrier_mobility_estimation,hasInputData,"sample thickness, d""
"charge_carrier_mobility_estimation,hasInputData,"time at which absorption current is at its maximum (peak), tp""
"charge_carrier_mobility_estimation,hasInputData,"applied voltage, V""
"charge_carrier_mobility_estimation,hasOutputData,"mobility of the charge carriers, l""
"charge_carrier_mobility_estimation,hasNotes,mobility_estimation_notes"
"mobility_estimation_notes,asString,"relies on the transient space charge limited current characteristics in polyethylene which generates a peak in the current at a given time, tp, due to the arrival of a space charge front following transport from the source electrode [29]""
"defect_size_analysis,subClassOf,Process"
"defect_size_analysis,hasInputData,"re-plotted breakdown data in the form of ln(–ln[1 – PF]) versus 1/E""
"defect_size_analysis,hasOutputData,size of the defects"
"defect_size_analysis,hasNotes,defect_size_analysis_notes"
"defect_size_analysis_notes,asString,"the slope represents the size of the defects""
