"Data analysis with Auger Scan-2,hasSoftwareConfiguration,Auger Scan-2 software"
"Data analysis with Auger Scan-2,hasNotes,Notes_1"
"Notes_1,asString,employs a linear least squares optimization with a simplex peak-fitting algorithm"
"XPS analysis of particle surface,hasCondition,The four possible chemical structures of silicon in its four oxidation states (Si [+], Si [2+], Si [3+] and Si [4+]) were considered"
"XPS analysis of particle surface,hasCitation,[17]"
"Si-2p peak fitting,hasType,Type_1"
"Type_1,asString,symmetrical Gaussian fit"
"Si-2p peak fitting,hasCondition,the alternative peak positions were kept at the same width while the intensity was adjusted"
"Stoichiometric formula (SiOx) calculation,hasInputData,n, the oxidation state of silicon"
"Stoichiometric formula (SiOx) calculation,hasInputData,H, the peak intensity"
"Stoichiometric formula (SiOx) calculation,hasOutputData,x"
"Breakdown data analysis with Weibull distribution,hasType,Type_2"
"Type_2,asString,A conventional 2-parameter Weibull distribution"
"Breakdown data analysis with Weibull distribution,hasCitation,[18]"
"Breakdown data analysis with Weibull distribution,hasInputData,breakdown data for samples ranging in thickness from 0.15 mm to 0.015 mm"
"Breakdown data analysis with Weibull distribution,hasCondition,Breakdown tests were conducted at 25 C"
"Breakdown data analysis with Weibull distribution,hasCondition,Breakdown tests were conducted at 60 C"
"Breakdown data analysis with Weibull distribution,hasCondition,Breakdown tests were conducted at 70 C"
"Breakdown data analysis with Weibull distribution,hasCondition,Breakdown tests were conducted at 80 C"
"Tip stress calculation,hasCitation,[1]"
"Tip stress calculation,hasInputData,V, the applied voltage"
"Tip stress calculation,hasInputData,r"
"Tip stress calculation,hasInputData,d"
"Tip stress calculation,hasOutputData,E, the tip stress"
"Permittivity calculation (Lichtenecker-Rother),hasCitation,[21]"
"Permittivity calculation (Lichtenecker-Rother),hasCondition,at 60 Hz"
"Permittivity calculation (Lichtenecker-Rother),hasInputData,composites with 5 wt% of filler"
"Permittivity calculation (Lichtenecker-Rother),hasOutputData,predicted permittivity"
"Permittivity calculation (Maxwell-Garnet),hasCitation,[22]"
"Permittivity calculation (Maxwell-Garnet),hasCondition,at 60 Hz"
"Permittivity calculation (Maxwell-Garnet),hasInputData,composites with 5 wt% of filler"
"Permittivity calculation (Maxwell-Garnet),hasOutputData,predicted permittivity"
"Permittivity calculation (Landau-Lifshitz),hasCitation,[23]"
"Permittivity calculation (Landau-Lifshitz),hasCondition,at 60 Hz"
"Permittivity calculation (Landau-Lifshitz),hasCondition,with a power factor (exponential term in power law equation) of 1/3"
"Permittivity calculation (Landau-Lifshitz),hasInputData,composites with 5 wt% of filler"
"Permittivity calculation (Landau-Lifshitz),hasOutputData,predicted permittivity"
"Activation energy calculation,hasType,Type_3"
"Type_3,asString,normalization method"
"Activation energy calculation,hasCitation,[24]"
"Activation energy calculation,hasNotes,Notes_2"
"Notes_2,asString,by shifting the imaginary part of the frequency spectra laterally and then determining the frequency shift required to bring the curves into coincidence"
"Trap depth evaluation,hasType,Type_4"
"Type_4,asString,initial rise method"
"Trap depth evaluation,hasCitation,[26]"
"Trap depth evaluation,hasCondition,A temperature range of 0.95–0.98 Tm was selected"
"Trap depth evaluation,hasNotes,Notes_3"
"Notes_3,asString,Tm represents the temperature where a TSC peak is observed for a particular sample"
"Trap depth evaluation,hasNotes,Notes_4"
"Notes_4,asString,The trap depth was determined from the slope of an Arrhenius plot"
"Absorption current exponent calculation,hasType,Type_5"
"Type_5,asString,slope of the bi-log plot"
"Absorption current exponent calculation,hasOutputData,n, the slope of the bi-log plot"
"Charge carrier mobility estimation,hasType,Type_6"
"Type_6,asString,method documented by Malec et al."
"Charge carrier mobility estimation,hasCitation,[14]"
"Charge carrier mobility estimation,hasCitation,[29]"
"Charge carrier mobility estimation,hasInputData,d, the sample thickness"
"Charge carrier mobility estimation,hasInputData,tp, the time at which absorption current is at its maximum (peak)"
"Charge carrier mobility estimation,hasInputData,V, the applied voltage"
"Charge carrier mobility estimation,hasOutputData,l, the mobility of the charge carriers"
"Charge carrier mobility estimation,hasNotes,Notes_5"
"Notes_5,asString,This method relies on the transient space charge limited current characteristics in polyethylene which generates a peak in the current at a given time, tp, due to the arrival of a space charge front following transport from the source electrode [29]."
"Charge injection point determination,hasType,Type_7"
"Type_7,asString,finding the point at which the data begins to deviate from linearity"
"Charge injection point determination,hasOutputData,the point at which charge injection occurs"
"Breakdown strength vs defect size analysis,hasNotes,Notes_6"
"Notes_6,asString,based on a chain scission mechanism as proposed by Artbauer [31]"
"Breakdown strength vs defect size analysis,hasNotes,Notes_7"
"Notes_7,asString,by replotting the breakdown data in the form of ln(– ln[1 – PF]) versus 1/E should give the information about the size of the defects"
"Breakdown strength vs defect size analysis,hasCitation,[15]"
"Breakdown strength vs defect size analysis,hasCitation,[31]"
"Breakdown strength vs defect size analysis,hasCondition,The defect size distribution is assumed to be exponential in nature"
"Breakdown strength vs defect size analysis,hasInputData,breakdown data"
"Breakdown strength vs defect size analysis,hasOutputData,information about the size of the defects"
